algorithm,leaf_size,metric,n_neighbors,p,weights,mean_test_score,std_test_score,rank_test_score
brute,20,minkowski,1,3,uniform,0.6238095238095238,0.05302632726504781,4523
brute,20,minkowski,1,3,distance,0.6238095238095238,0.05302632726504781,4523
brute,20,minkowski,1,4,uniform,0.6142857142857142,0.05302632726504781,5455
brute,20,minkowski,1,4,distance,0.6142857142857142,0.05302632726504781,5455
brute,20,minkowski,1,5,uniform,0.6095238095238095,0.055532875189002844,5853
brute,20,minkowski,1,5,distance,0.6095238095238095,0.055532875189002844,5853
brute,20,minkowski,2,1,uniform,0.5571428571428573,0.06317380553057905,7128
brute,20,minkowski,2,1,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,minkowski,2,2,uniform,0.561904761904762,0.059476171413318075,7063
brute,20,minkowski,2,2,distance,0.638095238095238,0.0628138378965377,3042
brute,20,minkowski,2,3,uniform,0.5714285714285714,0.063887656499994,6940
brute,20,minkowski,2,3,distance,0.6238095238095238,0.05302632726504781,4523
brute,20,minkowski,2,4,uniform,0.5714285714285715,0.06563832739090583,6796
brute,20,minkowski,2,4,distance,0.6142857142857142,0.05302632726504781,5455
brute,20,minkowski,2,5,uniform,0.5761904761904763,0.06632565846278153,6731
brute,20,minkowski,2,5,distance,0.6095238095238095,0.055532875189002844,5853
brute,20,minkowski,3,1,uniform,0.638095238095238,0.017817416127494944,3042
brute,20,minkowski,3,1,distance,0.6523809523809524,0.032296809443453645,1116
brute,20,minkowski,3,2,uniform,0.6476190476190475,0.02776643759450141,2302
brute,20,minkowski,3,2,distance,0.6523809523809524,0.041513323271815936,1116
brute,20,minkowski,3,3,uniform,0.6285714285714286,0.05753831415997414,4054
brute,20,minkowski,3,3,distance,0.6285714285714286,0.06317380553057905,4054
brute,20,minkowski,3,4,uniform,0.6333333333333333,0.05128728387747147,3596
brute,20,minkowski,3,4,distance,0.6285714285714287,0.05753831415997418,3949
brute,20,minkowski,3,5,uniform,0.6285714285714286,0.044160088073789065,4054
brute,20,minkowski,3,5,distance,0.6238095238095239,0.04856209060564558,4368
brute,20,minkowski,4,1,uniform,0.6047619047619047,0.0534522483824849,6145
brute,20,minkowski,4,1,distance,0.6666666666666666,0.026082026547865043,267
brute,20,minkowski,4,2,uniform,0.6047619047619048,0.04416008807378908,6015
brute,20,minkowski,4,2,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,minkowski,4,3,uniform,0.5952380952380952,0.02129588549999802,6368
brute,20,minkowski,4,3,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,minkowski,4,4,uniform,0.5904761904761905,0.03499271061118824,6529
brute,20,minkowski,4,4,distance,0.6333333333333333,0.04902681019517621,3596
brute,20,minkowski,4,5,uniform,0.6095238095238095,0.03868589716493312,5853
brute,20,minkowski,4,5,distance,0.6238095238095237,0.05909368402852789,4935
brute,20,minkowski,5,1,uniform,0.6476190476190478,0.08832017614757812,1783
brute,20,minkowski,5,1,distance,0.6571428571428573,0.06494372236659933,652
brute,20,minkowski,5,2,uniform,0.6142857142857142,0.038095238095238106,5455
brute,20,minkowski,5,2,distance,0.638095238095238,0.0645936188869073,3042
brute,20,minkowski,5,3,uniform,0.6285714285714287,0.04151332327181595,3949
brute,20,minkowski,5,3,distance,0.638095238095238,0.06966066113489426,3042
brute,20,minkowski,5,4,uniform,0.6285714285714287,0.04151332327181595,3949
brute,20,minkowski,5,4,distance,0.6333333333333333,0.07766431633476235,3596
brute,20,minkowski,5,5,uniform,0.6285714285714287,0.04151332327181595,3949
brute,20,minkowski,5,5,distance,0.6285714285714286,0.07766431633476234,4054
brute,20,minkowski,6,1,uniform,0.619047619047619,0.08247860988423225,5246
brute,20,minkowski,6,1,distance,0.661904761904762,0.05512303287042966,423
brute,20,minkowski,6,2,uniform,0.6095238095238096,0.07158712561129954,5723
brute,20,minkowski,6,2,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,minkowski,6,3,uniform,0.6190476190476192,0.08109231602822094,5185
brute,20,minkowski,6,3,distance,0.6571428571428571,0.04416008807378907,712
brute,20,minkowski,6,4,uniform,0.6142857142857142,0.0663256584627815,5455
brute,20,minkowski,6,4,distance,0.6523809523809524,0.04665694748158436,1116
brute,20,minkowski,6,5,uniform,0.619047619047619,0.06563832739090579,5246
brute,20,minkowski,6,5,distance,0.6571428571428571,0.05753831415997413,712
brute,20,minkowski,7,1,uniform,0.6238095238095239,0.055123032870429634,4368
brute,20,minkowski,7,1,distance,0.6476190476190476,0.038095238095238085,1867
brute,20,minkowski,7,2,uniform,0.6523809523809524,0.06317380553057904,1116
brute,20,minkowski,7,2,distance,0.6714285714285714,0.055123032870429634,87
brute,20,minkowski,7,3,uniform,0.6523809523809524,0.07158712561129955,1116
brute,20,minkowski,7,3,distance,0.6619047619047619,0.05512303287042962,537
brute,20,minkowski,7,4,uniform,0.6571428571428571,0.07468755781599105,712
brute,20,minkowski,7,4,distance,0.6523809523809524,0.06834619092574915,1116
brute,20,minkowski,7,5,uniform,0.6571428571428571,0.07315376902732007,712
brute,20,minkowski,7,5,distance,0.6523809523809524,0.08597842897746565,1116
brute,20,minkowski,8,1,uniform,0.6238095238095237,0.07438333024673005,4935
brute,20,minkowski,8,1,distance,0.6476190476190476,0.0380952380952381,1867
brute,20,minkowski,8,2,uniform,0.6523809523809525,0.06998542122237654,936
brute,20,minkowski,8,2,distance,0.6523809523809524,0.0534522483824849,1116
brute,20,minkowski,8,3,uniform,0.6476190476190476,0.06632565846278154,1867
brute,20,minkowski,8,3,distance,0.6571428571428571,0.05753831415997413,712
brute,20,minkowski,8,4,uniform,0.6428571428571429,0.07221786137191953,2431
brute,20,minkowski,8,4,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,minkowski,8,5,uniform,0.6571428571428571,0.07766431633476234,712
brute,20,minkowski,8,5,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,minkowski,9,1,uniform,0.6333333333333333,0.05345224838248486,3596
brute,20,minkowski,9,1,distance,0.6333333333333334,0.03563483225498992,3416
brute,20,minkowski,9,2,uniform,0.6428571428571429,0.06023386019368344,2431
brute,20,minkowski,9,2,distance,0.6666666666666666,0.062087641954310935,267
brute,20,minkowski,9,3,uniform,0.6380952380952382,0.07438333024673004,2932
brute,20,minkowski,9,3,distance,0.6666666666666667,0.06208764195431092,207
brute,20,minkowski,9,4,uniform,0.6428571428571429,0.0838419850555191,2431
brute,20,minkowski,9,4,distance,0.6714285714285715,0.06966066113489423,1
brute,20,minkowski,9,5,uniform,0.6333333333333334,0.08857654875113466,3416
brute,20,minkowski,9,5,distance,0.6619047619047619,0.07882354932022309,537
brute,20,euclidean,1,1,uniform,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,1,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,2,uniform,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,2,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,3,uniform,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,3,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,4,uniform,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,4,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,5,uniform,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,1,5,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,2,1,uniform,0.561904761904762,0.059476171413318075,7063
brute,20,euclidean,2,1,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,2,2,uniform,0.561904761904762,0.059476171413318075,7063
brute,20,euclidean,2,2,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,2,3,uniform,0.561904761904762,0.059476171413318075,7063
brute,20,euclidean,2,3,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,2,4,uniform,0.561904761904762,0.059476171413318075,7063
brute,20,euclidean,2,4,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,2,5,uniform,0.561904761904762,0.059476171413318075,7063
brute,20,euclidean,2,5,distance,0.638095238095238,0.0628138378965377,3042
brute,20,euclidean,3,1,uniform,0.6476190476190475,0.02776643759450141,2302
brute,20,euclidean,3,1,distance,0.6523809523809524,0.041513323271815936,1116
brute,20,euclidean,3,2,uniform,0.6476190476190475,0.02776643759450141,2302
brute,20,euclidean,3,2,distance,0.6523809523809524,0.041513323271815936,1116
brute,20,euclidean,3,3,uniform,0.6476190476190475,0.02776643759450141,2302
brute,20,euclidean,3,3,distance,0.6523809523809524,0.041513323271815936,1116
brute,20,euclidean,3,4,uniform,0.6476190476190475,0.02776643759450141,2302
brute,20,euclidean,3,4,distance,0.6523809523809524,0.041513323271815936,1116
brute,20,euclidean,3,5,uniform,0.6476190476190475,0.02776643759450141,2302
brute,20,euclidean,3,5,distance,0.6523809523809524,0.041513323271815936,1116
brute,20,euclidean,4,1,uniform,0.6047619047619048,0.04416008807378908,6015
brute,20,euclidean,4,1,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,euclidean,4,2,uniform,0.6047619047619048,0.04416008807378908,6015
brute,20,euclidean,4,2,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,euclidean,4,3,uniform,0.6047619047619048,0.04416008807378908,6015
brute,20,euclidean,4,3,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,euclidean,4,4,uniform,0.6047619047619048,0.04416008807378908,6015
brute,20,euclidean,4,4,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,euclidean,4,5,uniform,0.6047619047619048,0.04416008807378908,6015
brute,20,euclidean,4,5,distance,0.6476190476190476,0.040963453652583935,1867
brute,20,euclidean,5,1,uniform,0.6142857142857142,0.038095238095238106,5455
brute,20,euclidean,5,1,distance,0.638095238095238,0.0645936188869073,3042
brute,20,euclidean,5,2,uniform,0.6142857142857142,0.038095238095238106,5455
brute,20,euclidean,5,2,distance,0.638095238095238,0.0645936188869073,3042
brute,20,euclidean,5,3,uniform,0.6142857142857142,0.038095238095238106,5455
brute,20,euclidean,5,3,distance,0.638095238095238,0.0645936188869073,3042
brute,20,euclidean,5,4,uniform,0.6142857142857142,0.038095238095238106,5455
brute,20,euclidean,5,4,distance,0.638095238095238,0.0645936188869073,3042
brute,20,euclidean,5,5,uniform,0.6142857142857142,0.038095238095238106,5455
brute,20,euclidean,5,5,distance,0.638095238095238,0.0645936188869073,3042
brute,20,euclidean,6,1,uniform,0.6095238095238096,0.07158712561129954,5723
brute,20,euclidean,6,1,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,euclidean,6,2,uniform,0.6095238095238096,0.07158712561129954,5723
brute,20,euclidean,6,2,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,euclidean,6,3,uniform,0.6095238095238096,0.07158712561129954,5723
brute,20,euclidean,6,3,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,euclidean,6,4,uniform,0.6095238095238096,0.07158712561129954,5723
brute,20,euclidean,6,4,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,euclidean,6,5,uniform,0.6095238095238096,0.07158712561129954,5723
brute,20,euclidean,6,5,distance,0.6523809523809524,0.049026810195176206,1116
brute,20,euclidean,7,1,uniform,0.6523809523809524,0.06317380553057904,1116
brute,20,euclidean,7,1,distance,0.6714285714285714,0.055123032870429634,87
brute,20,euclidean,7,2,uniform,0.6523809523809524,0.06317380553057904,1116
brute,20,euclidean,7,2,distance,0.6714285714285714,0.055123032870429634,87
brute,20,euclidean,7,3,uniform,0.6523809523809524,0.06317380553057904,1116
brute,20,euclidean,7,3,distance,0.6714285714285714,0.055123032870429634,87
brute,20,euclidean,7,4,uniform,0.6523809523809524,0.06317380553057904,1116
brute,20,euclidean,7,4,distance,0.6714285714285714,0.055123032870429634,87
brute,20,euclidean,7,5,uniform,0.6523809523809524,0.06317380553057904,1116
brute,20,euclidean,7,5,distance,0.6714285714285714,0.055123032870429634,87
brute,20,euclidean,8,1,uniform,0.6523809523809525,0.06998542122237654,936
brute,20,euclidean,8,1,distance,0.6523809523809524,0.0534522483824849,1116
brute,20,euclidean,8,2,uniform,0.6523809523809525,0.06998542122237654,936
brute,20,euclidean,8,2,distance,0.6523809523809524,0.0534522483824849,1116
brute,20,euclidean,8,3,uniform,0.6523809523809525,0.06998542122237654,936
brute,20,euclidean,8,3,distance,0.6523809523809524,0.0534522483824849,1116
brute,20,euclidean,8,4,uniform,0.6523809523809525,0.06998542122237654,936
brute,20,euclidean,8,4,distance,0.6523809523809524,0.0534522483824849,1116
brute,20,euclidean,8,5,uniform,0.6523809523809525,0.06998542122237654,936
brute,20,euclidean,8,5,distance,0.6523809523809524,0.0534522483824849,1116
brute,20,euclidean,9,1,uniform,0.6428571428571429,0.06023386019368344,2431
brute,20,euclidean,9,1,distance,0.6666666666666666,0.062087641954310935,267
brute,20,euclidean,9,2,uniform,0.6428571428571429,0.06023386019368344,2431
brute,20,euclidean,9,2,distance,0.6666666666666666,0.062087641954310935,267
brute,20,euclidean,9,3,uniform,0.6428571428571429,0.06023386019368344,2431
brute,20,euclidean,9,3,distance,0.6666666666666666,0.062087641954310935,267
brute,20,euclidean,9,4,uniform,0.6428571428571429,0.06023386019368344,2431
brute,20,euclidean,9,4,distance,0.6666666666666666,0.062087641954310935,267
brute,20,euclidean,9,5,uniform,0.6428571428571429,0.06023386019368344,2431
brute,20,euclidean,9,5,distance,0.6666666666666666,0.062087641954310935,267
brute,20,manhattan,1,1,uniform,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,1,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,2,uniform,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,2,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,3,uniform,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,3,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,4,uniform,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,4,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,5,uniform,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,1,5,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,2,1,uniform,0.5571428571428573,0.06317380553057905,7128
brute,20,manhattan,2,1,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,2,2,uniform,0.5571428571428573,0.06317380553057905,7128
brute,20,manhattan,2,2,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,2,3,uniform,0.5571428571428573,0.06317380553057905,7128
brute,20,manhattan,2,3,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,2,4,uniform,0.5571428571428573,0.06317380553057905,7128
brute,20,manhattan,2,4,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,2,5,uniform,0.5571428571428573,0.06317380553057905,7128
brute,20,manhattan,2,5,distance,0.6238095238095238,0.08438116736509216,4523
brute,20,manhattan,3,1,uniform,0.638095238095238,0.017817416127494944,3042
brute,20,manhattan,3,1,distance,0.6523809523809524,0.032296809443453645,1116
brute,20,manhattan,3,2,uniform,0.638095238095238,0.017817416127494944,3042
brute,20,manhattan,3,2,distance,0.6523809523809524,0.032296809443453645,1116
brute,20,manhattan,3,3,uniform,0.638095238095238,0.017817416127494944,3042
brute,20,manhattan,3,3,distance,0.6523809523809524,0.032296809443453645,1116
brute,20,manhattan,3,4,uniform,0.638095238095238,0.017817416127494944,3042
brute,20,manhattan,3,4,distance,0.6523809523809524,0.032296809443453645,1116
brute,20,manhattan,3,5,uniform,0.638095238095238,0.017817416127494944,3042
brute,20,manhattan,3,5,distance,0.6523809523809524,0.032296809443453645,1116
brute,20,manhattan,4,1,uniform,0.6047619047619047,0.0534522483824849,6145
brute,20,manhattan,4,1,distance,0.6666666666666666,0.026082026547865043,267
brute,20,manhattan,4,2,uniform,0.6047619047619047,0.0534522483824849,6145
brute,20,manhattan,4,2,distance,0.6666666666666666,0.026082026547865043,267
brute,20,manhattan,4,3,uniform,0.6047619047619047,0.0534522483824849,6145
brute,20,manhattan,4,3,distance,0.6666666666666666,0.026082026547865043,267
brute,20,manhattan,4,4,uniform,0.6047619047619047,0.0534522483824849,6145
brute,20,manhattan,4,4,distance,0.6666666666666666,0.026082026547865043,267
brute,20,manhattan,4,5,uniform,0.6047619047619047,0.0534522483824849,6145
brute,20,manhattan,4,5,distance,0.6666666666666666,0.026082026547865043,267
brute,20,manhattan,5,1,uniform,0.6476190476190478,0.08832017614757812,1783
brute,20,manhattan,5,1,distance,0.6571428571428573,0.06494372236659933,652
brute,20,manhattan,5,2,uniform,0.6476190476190478,0.08832017614757812,1783
brute,20,manhattan,5,2,distance,0.6571428571428573,0.06494372236659933,652
brute,20,manhattan,5,3,uniform,0.6476190476190478,0.08832017614757812,1783
brute,20,manhattan,5,3,distance,0.6571428571428573,0.06494372236659933,652
brute,20,manhattan,5,4,uniform,0.6476190476190478,0.08832017614757812,1783
brute,20,manhattan,5,4,distance,0.6571428571428573,0.06494372236659933,652
brute,20,manhattan,5,5,uniform,0.6476190476190478,0.08832017614757812,1783
brute,20,manhattan,5,5,distance,0.6571428571428573,0.06494372236659933,652
brute,20,manhattan,6,1,uniform,0.619047619047619,0.08247860988423225,5246
brute,20,manhattan,6,1,distance,0.661904761904762,0.05512303287042966,423
brute,20,manhattan,6,2,uniform,0.619047619047619,0.08247860988423225,5246
brute,20,manhattan,6,2,distance,0.661904761904762,0.05512303287042966,423
brute,20,manhattan,6,3,uniform,0.619047619047619,0.08247860988423225,5246
brute,20,manhattan,6,3,distance,0.661904761904762,0.05512303287042966,423
brute,20,manhattan,6,4,uniform,0.619047619047619,0.08247860988423225,5246
brute,20,manhattan,6,4,distance,0.661904761904762,0.05512303287042966,423
brute,20,manhattan,6,5,uniform,0.619047619047619,0.08247860988423225,5246
brute,20,manhattan,6,5,distance,0.661904761904762,0.05512303287042966,423
brute,20,manhattan,7,1,uniform,0.6238095238095239,0.055123032870429634,4368
brute,20,manhattan,7,1,distance,0.6476190476190476,0.038095238095238085,1867
brute,20,manhattan,7,2,uniform,0.6238095238095239,0.055123032870429634,4368
brute,20,manhattan,7,2,distance,0.6476190476190476,0.038095238095238085,1867
brute,20,manhattan,7,3,uniform,0.6238095238095239,0.055123032870429634,4368
brute,20,manhattan,7,3,distance,0.6476190476190476,0.038095238095238085,1867
brute,20,manhattan,7,4,uniform,0.6238095238095239,0.055123032870429634,4368
brute,20,manhattan,7,4,distance,0.6476190476190476,0.038095238095238085,1867
brute,20,manhattan,7,5,uniform,0.6238095238095239,0.055123032870429634,4368
brute,20,manhattan,7,5,distance,0.6476190476190476,0.038095238095238085,1867
brute,20,manhattan,8,1,uniform,0.6238095238095237,0.07438333024673005,4935
brute,20,manhattan,8,1,distance,0.6476190476190476,0.0380952380952381,1867
brute,20,manhattan,8,2,uniform,0.6238095238095237,0.07438333024673005,4935
brute,20,manhattan,8,2,distance,0.6476190476190476,0.0380952380952381,1867
brute,20,manhattan,8,3,uniform,0.6238095238095237,0.07438333024673005,4935
brute,20,manhattan,8,3,distance,0.6476190476190476,0.0380952380952381,1867
brute,20,manhattan,8,4,uniform,0.6238095238095237,0.07438333024673005,4935
brute,20,manhattan,8,4,distance,0.6476190476190476,0.0380952380952381,1867
brute,20,manhattan,8,5,uniform,0.6238095238095237,0.07438333024673005,4935
brute,20,manhattan,8,5,distance,0.6476190476190476,0.0380952380952381,1867
brute,20,manhattan,9,1,uniform,0.6333333333333333,0.05345224838248486,3596
brute,20,manhattan,9,1,distance,0.6333333333333334,0.03563483225498992,3416
brute,20,manhattan,9,2,uniform,0.6333333333333333,0.05345224838248486,3596
brute,20,manhattan,9,2,distance,0.6333333333333334,0.03563483225498992,3416
brute,20,manhattan,9,3,uniform,0.6333333333333333,0.05345224838248486,3596
brute,20,manhattan,9,3,distance,0.6333333333333334,0.03563483225498992,3416
brute,20,manhattan,9,4,uniform,0.6333333333333333,0.05345224838248486,3596
brute,20,manhattan,9,4,distance,0.6333333333333334,0.03563483225498992,3416
brute,20,manhattan,9,5,uniform,0.6333333333333333,0.05345224838248486,3596
brute,20,manhattan,9,5,distance,0.6333333333333334,0.03563483225498992,3416
brute,20,chebyshev,1,1,uniform,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,1,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,2,uniform,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,2,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,3,uniform,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,3,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,4,uniform,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,4,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,5,uniform,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,1,5,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,2,1,uniform,0.5571428571428572,0.05753831415997415,7176
brute,20,chebyshev,2,1,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,2,2,uniform,0.5571428571428572,0.05753831415997415,7176
brute,20,chebyshev,2,2,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,2,3,uniform,0.5571428571428572,0.05753831415997415,7176
brute,20,chebyshev,2,3,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,2,4,uniform,0.5571428571428572,0.05753831415997415,7176
brute,20,chebyshev,2,4,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,2,5,uniform,0.5571428571428572,0.05753831415997415,7176
brute,20,chebyshev,2,5,distance,0.5666666666666667,0.06966066113489425,6983
brute,20,chebyshev,3,1,uniform,0.6000000000000001,0.07438333024673005,6276
brute,20,chebyshev,3,1,distance,0.5952380952380952,0.08908708063747477,6368
brute,20,chebyshev,3,2,uniform,0.6000000000000001,0.07438333024673005,6276
brute,20,chebyshev,3,2,distance,0.5952380952380952,0.08908708063747477,6368
brute,20,chebyshev,3,3,uniform,0.6000000000000001,0.07438333024673005,6276
brute,20,chebyshev,3,3,distance,0.5952380952380952,0.08908708063747477,6368
brute,20,chebyshev,3,4,uniform,0.6000000000000001,0.07438333024673005,6276
brute,20,chebyshev,3,4,distance,0.5952380952380952,0.08908708063747477,6368
brute,20,chebyshev,3,5,uniform,0.6000000000000001,0.07438333024673005,6276
brute,20,chebyshev,3,5,distance,0.5952380952380952,0.08908708063747477,6368
brute,20,chebyshev,4,1,uniform,0.5952380952380952,0.033671751485073696,6368
brute,20,chebyshev,4,1,distance,0.5952380952380952,0.10540925533894598,6368
brute,20,chebyshev,4,2,uniform,0.5952380952380952,0.033671751485073696,6368
brute,20,chebyshev,4,2,distance,0.5952380952380952,0.10540925533894598,6368
brute,20,chebyshev,4,3,uniform,0.5952380952380952,0.033671751485073696,6368
brute,20,chebyshev,4,3,distance,0.5952380952380952,0.10540925533894598,6368
brute,20,chebyshev,4,4,uniform,0.5952380952380952,0.033671751485073696,6368
brute,20,chebyshev,4,4,distance,0.5952380952380952,0.10540925533894598,6368
brute,20,chebyshev,4,5,uniform,0.5952380952380952,0.033671751485073696,6368
brute,20,chebyshev,4,5,distance,0.5952380952380952,0.10540925533894598,6368
brute,20,chebyshev,5,1,uniform,0.6142857142857142,0.040963453652583914,5455
brute,20,chebyshev,5,1,distance,0.6285714285714286,0.08053111678708459,4054
brute,20,chebyshev,5,2,uniform,0.6142857142857142,0.040963453652583914,5455
brute,20,chebyshev,5,2,distance,0.6285714285714286,0.08053111678708459,4054
brute,20,chebyshev,5,3,uniform,0.6142857142857142,0.040963453652583914,5455
brute,20,chebyshev,5,3,distance,0.6285714285714286,0.08053111678708459,4054
brute,20,chebyshev,5,4,uniform,0.6142857142857142,0.040963453652583914,5455
brute,20,chebyshev,5,4,distance,0.6285714285714286,0.08053111678708459,4054
brute,20,chebyshev,5,5,uniform,0.6142857142857142,0.040963453652583914,5455
brute,20,chebyshev,5,5,distance,0.6285714285714286,0.08053111678708459,4054
brute,20,chebyshev,6,1,uniform,0.6142857142857142,0.05084322977157767,5455
brute,20,chebyshev,6,1,distance,0.6333333333333333,0.06135285107964345,3596
brute,20,chebyshev,6,2,uniform,0.6142857142857142,0.05084322977157767,5455
brute,20,chebyshev,6,2,distance,0.6333333333333333,0.06135285107964345,3596
brute,20,chebyshev,6,3,uniform,0.6142857142857142,0.05084322977157767,5455
brute,20,chebyshev,6,3,distance,0.6333333333333333,0.06135285107964345,3596
brute,20,chebyshev,6,4,uniform,0.6142857142857142,0.05084322977157767,5455
brute,20,chebyshev,6,4,distance,0.6333333333333333,0.06135285107964345,3596
brute,20,chebyshev,6,5,uniform,0.6142857142857142,0.05084322977157767,5455
brute,20,chebyshev,6,5,distance,0.6333333333333333,0.06135285107964345,3596
brute,20,chebyshev,7,1,uniform,0.6333333333333334,0.05753831415997416,3416
brute,20,chebyshev,7,1,distance,0.6333333333333333,0.061352851079643445,3596
brute,20,chebyshev,7,2,uniform,0.6333333333333334,0.05753831415997416,3416
brute,20,chebyshev,7,2,distance,0.6333333333333333,0.061352851079643445,3596
brute,20,chebyshev,7,3,uniform,0.6333333333333334,0.05753831415997416,3416
brute,20,chebyshev,7,3,distance,0.6333333333333333,0.061352851079643445,3596
brute,20,chebyshev,7,4,uniform,0.6333333333333334,0.05753831415997416,3416
brute,20,chebyshev,7,4,distance,0.6333333333333333,0.061352851079643445,3596
brute,20,chebyshev,7,5,uniform,0.6333333333333334,0.05753831415997416,3416
brute,20,chebyshev,7,5,distance,0.6333333333333333,0.061352851079643445,3596
brute,20,chebyshev,8,1,uniform,0.6285714285714287,0.0594761714133181,3949
brute,20,chebyshev,8,1,distance,0.6428571428571429,0.058321184351980415,2431
brute,20,chebyshev,8,2,uniform,0.6285714285714287,0.0594761714133181,3949
brute,20,chebyshev,8,2,distance,0.6428571428571429,0.058321184351980415,2431
brute,20,chebyshev,8,3,uniform,0.6285714285714287,0.0594761714133181,3949
brute,20,chebyshev,8,3,distance,0.6428571428571429,0.058321184351980415,2431
brute,20,chebyshev,8,4,uniform,0.6285714285714287,0.0594761714133181,3949
brute,20,chebyshev,8,4,distance,0.6428571428571429,0.058321184351980415,2431
brute,20,chebyshev,8,5,uniform,0.6285714285714287,0.0594761714133181,3949
brute,20,chebyshev,8,5,distance,0.6428571428571429,0.058321184351980415,2431
brute,20,chebyshev,9,1,uniform,0.6285714285714286,0.0959497222838566,4054
brute,20,chebyshev,9,1,distance,0.6571428571428571,0.06834619092574915,712
brute,20,chebyshev,9,2,uniform,0.6285714285714286,0.0959497222838566,4054
brute,20,chebyshev,9,2,distance,0.6571428571428571,0.06834619092574915,712
brute,20,chebyshev,9,3,uniform,0.6285714285714286,0.0959497222838566,4054
brute,20,chebyshev,9,3,distance,0.6571428571428571,0.06834619092574915,712
brute,20,chebyshev,9,4,uniform,0.6285714285714286,0.0959497222838566,4054
brute,20,chebyshev,9,4,distance,0.6571428571428571,0.06834619092574915,712
brute,20,chebyshev,9,5,uniform,0.6285714285714286,0.0959497222838566,4054
brute,20,chebyshev,9,5,distance,0.6571428571428571,0.06834619092574915,712
brute,30,minkowski,1,1,uniform,0.6238095238095238,0.08438116736509216,4523
brute,30,minkowski,1,1,distance,0.6238095238095238,0.08438116736509216,4523
brute,30,minkowski,1,2,uniform,0.638095238095238,0.0628138378965377,3042
brute,30,minkowski,1,2,distance,0.638095238095238,0.0628138378965377,3042
brute,30,minkowski,1,3,uniform,0.6238095238095238,0.05302632726504781,4523
brute,30,minkowski,1,3,distance,0.6238095238095238,0.05302632726504781,4523
